delivery_id,origin_postal_code,destination_postal_code,ship_date,expected_delivery_date,actual_delivery_date,package_type,weight_kg,priority,status,carrier,customer_name
DEL-00124,02101,12207,2023-04-12,2023-04-15,2023-04-14,perishable,39.2,express,delivered,UPS,HazSafe Transport
DEL-00125,53202,59601,2023-05-08,2023-05-11,,perishable,43.8,standard,in_transit,DHL Express,National Supply Co
DEL-00126,32801,90001,2023-04-02,2023-04-04,,perishable,55.2,express,cancelled,Amazon Logistics,Gallery Moderne
DEL-00127,46204,68102,2023-04-21,2023-04-28,2023-04-28,frozen,108.0,standard,delivered,DHL Express,TechVault Inc
DEL-00128,35203,90001,2023-05-04,2023-05-09,,standard,119.4,standard,in_transit,USPS,CircuitPeak Electronics
DEL-00129,88001,44113,2023-04-28,2023-05-01,2023-05-05,perishable,103.9,express,delayed,Amazon Logistics,Delicate Touches
DEL-00130,48201,80202,2023-04-17,2023-04-20,,fragile,37.8,express,cancelled,USPS,Crystal Clear Imports
DEL-00131,89101,80202,2023-05-18,2023-05-21,,perishable,12.0,express,scheduled,FedEx,Crystal Clear Imports
DEL-00132,82001,06103,2023-04-23,2023-04-26,2023-04-27,standard,15.1,express,delayed,USPS,NovaRx Distribution
DEL-00133,70112,81501,2023-05-01,2023-05-05,,electronics,19.0,standard,scheduled,Amazon Logistics,Bloom & Grow Nursery
DEL-00134,55401,83702,2023-05-25,2023-05-27,,fragile,97.0,express,in_transit,Amazon Logistics,ChemCore Solutions
DEL-00135,98101,95814,2023-04-01,2023-04-05,2023-04-10,electronics,41.1,standard,delayed,USPS,Heritage Art Movers
DEL-00136,98101,46204,2023-04-14,2023-04-17,,perishable,89.7,express,in_transit,FedEx,TechVault Inc
DEL-00137,48201,33101,2023-04-04,2023-04-06,2023-04-07,fragile,10.7,express,delivered,Amazon Logistics,Studio Lumiere
DEL-00138,06103,92101,2023-04-27,2023-05-02,2023-05-03,perishable,73.0,standard,delivered,DHL Express,SubZero Provisions
DEL-00139,03101,63101,2023-04-20,2023-04-23,2023-04-24,fragile,63.5,standard,delivered,Amazon Logistics,SubZero Provisions
DEL-00140,06103,10001,2023-04-21,2023-04-22,2023-04-21,electronics,31.0,overnight,delivered,UPS,National Supply Co
DEL-00141,44113,30301,2023-05-13,2023-05-18,2023-05-17,pharmaceutical,67.3,standard,delivered,UPS,Evergreen Gardens
DEL-00142,19103,68102,2023-04-26,2023-04-27,2023-04-27,perishable,51.8,overnight,delivered,USPS,HazSafe Transport
DEL-00143,02101,48201,2023-04-24,2023-04-25,,pharmaceutical,82.9,overnight,in_transit,DHL Express,Botanica Direct
DEL-00144,01201,29401,2023-05-18,2023-05-23,2023-05-23,standard,104.5,standard,delivered,FedEx,CircuitPeak Electronics
DEL-00145,21201,87101,2023-04-23,2023-04-27,2023-04-27,standard,93.3,standard,delivered,UPS,SecureShip Hazmat
DEL-00146,29401,28202,2023-05-11,2023-05-17,,pharmaceutical,114.2,standard,in_transit,FedEx,FrostBite Foods
DEL-00147,83702,93101,2023-05-10,2023-05-13,2023-05-16,standard,76.4,express,delayed,Amazon Logistics,Pacific Fresh
DEL-00148,12207,50309,2023-04-04,2023-04-09,,perishable,33.3,standard,in_transit,USPS,Glacier Cold Chain
DEL-00149,27601,80202,2023-05-25,2023-05-28,,standard,77.5,standard,in_transit,USPS,TechVault Inc
DEL-00150,85001,43215,2023-05-07,2023-05-09,2023-05-09,standard,109.1,express,delivered,FedEx,BulkBuy Wholesale
DEL-00151,85001,12207,2023-05-12,2023-05-16,2023-05-15,artwork,10.6,standard,delivered,USPS,ByteStream Hardware
DEL-00152,68102,50309,2023-04-25,2023-04-28,,standard,110.2,express,scheduled,USPS,MediQuick Labs
DEL-00153,89101,88001,2023-05-06,2023-05-09,2023-05-08,perishable,39.9,express,delivered,USPS,TechVault Inc
DEL-00154,98101,88001,2023-04-23,2023-04-28,,chemical,17.4,standard,cancelled,Amazon Logistics,NovaRx Distribution
DEL-00155,92101,98101,2023-05-12,2023-05-15,,fragile,67.3,express,scheduled,FedEx,Gallery Moderne
DEL-00156,98101,95814,2023-04-28,2023-05-01,2023-05-01,chemical,77.7,express,delivered,Amazon Logistics,TechVault Inc
DEL-00157,30301,32801,2023-04-10,2023-04-12,2023-04-12,electronics,120.0,express,delivered,UPS,ChemCore Solutions
DEL-00158,85001,82001,2023-05-20,2023-05-21,,chemical,40.7,overnight,in_transit,FedEx,NovaRx Distribution
DEL-00159,12207,30301,2023-05-17,2023-05-20,2023-05-20,pharmaceutical,108.4,express,delivered,Amazon Logistics,Glacier Cold Chain
DEL-00160,89101,99501,2023-04-29,2023-05-03,,electronics,90.0,standard,in_transit,USPS,National Supply Co
DEL-00161,27601,84101,2023-04-19,2023-04-25,,hazmat,55.7,standard,in_transit,Amazon Logistics,BulkBuy Wholesale
DEL-00162,53202,33101,2023-05-12,2023-05-15,2023-05-20,live_plants,30.4,express,delayed,UPS,Allied Chemical Corp
DEL-00163,01201,96813,2023-04-18,2023-04-19,2023-04-21,chemical,91.7,overnight,delayed,USPS,TechVault Inc
DEL-00164,44113,07102,2023-04-02,2023-04-08,2023-04-09,artwork,42.3,standard,delivered,DHL Express,SecureShip Hazmat
DEL-00165,63101,23219,2023-04-07,2023-04-12,,fragile,38.6,standard,scheduled,UPS,Greenfield Organics
DEL-00166,04101,19103,2023-04-29,2023-05-01,2023-05-02,electronics,84.8,express,delayed,UPS,National Supply Co
DEL-00167,29401,37201,2023-05-20,2023-05-25,2023-05-25,chemical,51.1,standard,delivered,Amazon Logistics,Evergreen Gardens
DEL-00168,06103,29401,2023-05-28,2023-05-31,,fragile,13.7,express,in_transit,DHL Express,TechVault Inc
DEL-00169,02101,94102,2023-05-10,2023-05-15,2023-05-15,standard,51.8,standard,delivered,UPS,Gallery Moderne
DEL-00170,30301,89101,2023-05-05,2023-05-12,,standard,114.4,standard,scheduled,USPS,TechVault Inc
DEL-00171,85001,83702,2023-04-24,2023-04-25,,perishable,46.7,overnight,scheduled,FedEx,Pacific Fresh
DEL-00172,55401,21201,2023-05-19,2023-05-22,2023-05-22,electronics,70.0,express,delivered,FedEx,National Supply Co
DEL-00173,59601,48201,2023-04-12,2023-04-16,2023-04-16,live_plants,57.7,standard,delivered,DHL Express,ByteStream Hardware
DEL-00174,19103,27601,2023-05-03,2023-05-06,,electronics,112.0,express,cancelled,FedEx,FreshDirect Farms
DEL-00175,59601,80202,2023-05-20,2023-05-22,2023-05-25,electronics,43.2,express,delayed,UPS,Gallery Moderne
DEL-00176,35203,03101,2023-04-25,2023-04-30,,live_plants,53.0,standard,cancelled,DHL Express,Delicate Touches
DEL-00177,84101,95814,2023-05-17,2023-05-18,2023-05-19,standard,96.2,overnight,delivered,Amazon Logistics,SafeHaul Logistics
DEL-00178,30301,82001,2023-04-29,2023-05-06,,electronics,35.8,standard,scheduled,USPS,NovaRx Distribution
DEL-00179,33101,95814,2023-04-18,2023-04-21,2023-04-20,standard,119.8,standard,delivered,USPS,Studio Lumiere
DEL-00180,46204,63101,2023-05-09,2023-05-12,2023-05-12,standard,17.6,express,delivered,UPS,Greenfield Organics
DEL-00181,23219,98101,2023-05-14,2023-05-20,2023-05-23,fragile,72.8,standard,delayed,Amazon Logistics,Pinnacle Pharma
DEL-00182,68102,93101,2023-04-18,2023-04-22,,perishable,38.1,standard,cancelled,USPS,CircuitPeak Electronics
DEL-00183,02101,97401,2023-04-17,2023-04-23,2023-04-24,pharmaceutical,31.8,standard,delivered,Amazon Logistics,Artisan Glass Co
DEL-00184,70112,95814,2023-04-29,2023-05-03,2023-05-07,hazmat,102.4,standard,delayed,FedEx,MegaMart Supply
DEL-00185,07102,92101,2023-05-05,2023-05-06,2023-05-08,artwork,8.3,overnight,delayed,USPS,ByteStream Hardware
DEL-00186,95814,96813,2023-04-13,2023-04-15,2023-04-15,hazmat,27.3,express,delivered,USPS,Evergreen Gardens
DEL-00187,02101,43215,2023-04-06,2023-04-09,2023-04-08,standard,73.6,standard,delivered,Amazon Logistics,MegaMart Supply
DEL-00188,96813,80202,2023-04-21,2023-04-23,,standard,15.5,express,in_transit,Amazon Logistics,TechVault Inc
DEL-00189,89101,87101,2023-05-20,2023-05-21,,electronics,70.7,overnight,in_transit,Amazon Logistics,Pacific Fresh
DEL-00190,06103,04101,2023-04-15,2023-04-20,2023-04-25,standard,112.2,standard,delayed,UPS,FreshDirect Farms
DEL-00191,70112,07102,2023-04-20,2023-04-22,,electronics,15.5,express,in_transit,Amazon Logistics,SafeHaul Logistics
DEL-00192,33101,88001,2023-04-22,2023-04-29,2023-04-29,artwork,108.3,standard,delivered,Amazon Logistics,Delicate Touches
DEL-00193,07102,19103,2023-05-07,2023-05-10,,artwork,25.7,express,in_transit,USPS,Pacific Fresh
DEL-00194,02101,85001,2023-05-22,2023-05-28,2023-05-28,hazmat,29.8,standard,delivered,USPS,SubZero Provisions
DEL-00195,92101,06103,2023-04-10,2023-04-15,2023-04-18,pharmaceutical,41.2,standard,delayed,DHL Express,Bloom & Grow Nursery
DEL-00196,96813,55401,2023-04-21,2023-04-25,,artwork,67.6,standard,in_transit,USPS,Evergreen Gardens
DEL-00197,35203,50309,2023-04-27,2023-05-01,,electronics,103.8,standard,cancelled,USPS,CircuitPeak Electronics
DEL-00198,33101,48201,2023-05-03,2023-05-06,,artwork,19.5,express,in_transit,UPS,National Supply Co
DEL-00199,27601,85001,2023-04-14,2023-04-15,2023-04-15,perishable,116.0,overnight,delivered,Amazon Logistics,BulkBuy Wholesale
DEL-00200,84101,81501,2023-05-25,2023-05-27,,hazmat,64.6,express,in_transit,DHL Express,Gallery Moderne
DEL-00201,29401,99501,2023-05-06,2023-05-10,2023-05-10,fragile,6.6,standard,delivered,FedEx,CircuitPeak Electronics
DEL-00202,21201,46204,2023-05-14,2023-05-16,2023-05-16,standard,118.7,express,delivered,USPS,Botanica Direct
DEL-00203,46204,63101,2023-05-09,2023-05-16,,live_plants,17.7,standard,in_transit,USPS,National Supply Co
DEL-00204,19103,06103,2023-05-09,2023-05-11,2023-05-12,perishable,55.1,express,delivered,DHL Express,Evergreen Gardens
DEL-00205,60601,33101,2023-05-24,2023-05-27,,fragile,40.7,express,scheduled,USPS,HazSafe Transport
DEL-00206,27601,84101,2023-05-21,2023-05-24,,live_plants,70.3,standard,in_transit,FedEx,Crystal Clear Imports
DEL-00207,29401,98101,2023-05-08,2023-05-11,2023-05-10,live_plants,86.7,express,delivered,Amazon Logistics,ChemCore Solutions
DEL-00208,96813,81501,2023-05-15,2023-05-18,2023-05-18,live_plants,68.9,standard,delivered,UPS,Pinnacle Pharma
DEL-00209,60601,44113,2023-05-29,2023-06-01,2023-06-02,pharmaceutical,93.1,express,delayed,DHL Express,Evergreen Gardens
DEL-00210,95814,04101,2023-04-12,2023-04-15,2023-04-18,standard,45.5,express,delayed,DHL Express,Evergreen Gardens
DEL-00211,59601,55401,2023-04-16,2023-04-17,,standard,58.4,overnight,in_transit,USPS,Studio Lumiere
DEL-00212,32801,60601,2023-05-06,2023-05-09,2023-05-10,live_plants,57.8,express,delivered,DHL Express,FreshDirect Farms
DEL-00213,89101,59601,2023-04-19,2023-04-20,2023-04-19,fragile,96.7,overnight,delivered,USPS,National Supply Co
DEL-00214,07102,63101,2023-05-05,2023-05-08,2023-05-11,hazmat,24.6,express,delayed,DHL Express,Bloom & Grow Nursery
DEL-00215,04101,01201,2023-05-04,2023-05-06,,standard,80.5,express,in_transit,UPS,Pinnacle Pharma
DEL-00216,06103,03101,2023-04-01,2023-04-03,,fragile,92.6,express,in_transit,FedEx,NovaRx Distribution
DEL-00217,80202,84101,2023-04-04,2023-04-06,,standard,34.6,express,scheduled,USPS,FreshDirect Farms
DEL-00218,32801,82001,2023-04-27,2023-04-28,2023-04-29,frozen,110.6,overnight,delayed,FedEx,Heritage Art Movers
DEL-00219,46204,85001,2023-04-20,2023-04-22,2023-04-25,pharmaceutical,5.0,express,delayed,USPS,SecureShip Hazmat
DEL-00220,70112,80202,2023-05-25,2023-06-01,,artwork,112.7,standard,in_transit,DHL Express,SecureShip Hazmat
DEL-00221,28202,03101,2023-05-18,2023-05-21,,electronics,22.8,express,scheduled,USPS,ByteStream Hardware
DEL-00222,83702,92101,2023-04-21,2023-04-24,,frozen,51.6,standard,in_transit,DHL Express,Botanica Direct
DEL-00223,01201,28202,2023-04-16,2023-04-22,,artwork,31.7,standard,scheduled,UPS,Greenfield Organics
